cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
43000 35.3402052859 23.9535103308 25.3864147156 0.00563185285274 5.07556113936e-06 -4.91924902584e-06 0.00558951257287 1.20174860462e-05 -0.00032044742273 0.00560214744915 4.02335187835e-05 0.000252014244618 0.00584228398746 -4.38025847983e-05 -8.96324258667e-05 0.005392502414 1.07244074416e-06 7.93236353984e-05 0.00591111159619 -1.12577373162e-05 -4.74955601764e-05 0.00528838048104 6.90981232991e-05 8.60025242495e-05 84.1915512717 130.531056448
44000 35.9033125824 23.9538887537 25.3860343388 0.00563007187965 2.83321956179e-06 -2.46716187079e-06 0.00559539517955 1.04728412711e-05 -0.000310671024872 0.00559538167245 4.08940935636e-05 0.000241067813396 0.00583874106788 -4.44119817921e-05 -8.7021406474e-05 0.00539166246154 -4.23025678288e-06 8.16764908453e-05 0.00590866808652 -1.35256099279e-05 -4.52388899559e-05 0.00528904888477 6.72011211435e-05 9.95973562098e-05 84.1257886017 130.618518035
45000 36.4662457654 23.9541519315 25.3859517894 0.00562901256012 2.09138128303e-06 5.89315847169e-07 0.00560123487251 1.15762962525e-05 -0.000311017793615 0.00559079590026 4.19612453226e-05 0.000249889072946 0.00583852021244 -4.40585928712e-05 -8.29622121281e-05 0.00539182160572 -8.1698997354e-06 8.24832991035e-05 0.00590624055479 -9.7870552911e-06 -4.7267696153e-05 0.00528671137786 5.52755902741e-05 0.000104927062615 84.0592086823 130.709508724
46000 37.0290666569 23.9542682924 25.3861596644 0.00562801708818 4.87336813938e-07 3.82315070634e-06 0.00560679540928 1.05943696307e-05 -0.000294575549144 0.00558420250066 4.24956355521e-05 0.000240656132451 0.00583475604529 -4.29568492249e-05 -7.8286231248e-05 0.00539086593097 -1.26365939146e-05 8.56214118327e-05 0.00590605675522 -1.17189228041e-05 -4.23969894556e-05 0.00528754222468 5.02926355202e-05 0.000115819625608 83.9916025099 130.804631117
47000 37.592281641 23.9529289157 25.3871125901 0.00562908113112 -1.23124414257e-06 6.66425737971e-06 0.00561485454834 9.04385351716e-06 -0.000299918253281 0.00559542472299 4.99418793726e-05 0.000243380863482 0.00583686268648 -4.45016721728e-05 -7.37482941453e-05 0.00539348537428 -1.53758406708e-05 8.3517305884e-05 0.00590772844801 -1.15882346388e-05 -4.23713475353e-05 0.00528813799319 3.92616495914e-05 0.000122132125754 83.8061281091 130.872836832
48000 38.1552088221 23.9525241634 25.3878951002 0.00562868977101 -2.86215897663e-06 8.29413927949e-06 0.00561882312526 8.71282826944e-06 -0.000281404934699 0.00559331628262 4.5247367738e-05 0.000239240530742 0.00583370562493 -4.32288913775e-05 -7.09355960178e-05 0.00539387798251 -1.92111004496e-05 8.44132570657e-05 0.00590500381933 -1.0503520265e-05 -4.22211130875e-05 0.00529083577169 3.35722373258e-05 0.000126591075425 83.7205678306 130.970921042
49000 38.7182205757 23.951933457 25.3889424751 0.00562994055795 -5.610525733e-06 1.11649309606e-05 0.00562733761805 6.00011027526e-06 -0.000279392284051 0.00559464802201 4.43723989491e-05 0.000239885989257 0.0058338760936 -4.49287126809e-05 -6.75113526226e-05 0.00539699984753 -2.24579730891e-05 8.21672288228e-05 0.00590657827773 -1.27296391997e-05 -3.88620624717e-05 0.00529149296829 2.26054726438e-05 0.000132532742891 83.6332909063 131.071112853
50000 39.2812802837 23.9511882859 25.3902371781 0.00563163289923 -8.05434437597e-06 1.44826927997e-05 0.0056321337787 4.72385540225e-06 -0.000265746631461 0.0055926525612 4.38070490449e-05 0.000244062346579 0.00583494625404 -4.67608147519e-05 -6.17112939658e-05 0.00539867998247 -2.61552346577e-05 8.37052104837e-05 0.00590720648527 -1.11379289258e-05 -3.90601725801e-05 0.00529692225036 1.63313865114e-05 0.000134735741876 83.5452588656 131.174481577
51000 39.8444054804 23.9502421105 25.3917578368 0.00564422987246 -2.52285610517e-05 2.64127571891e-05 0.0056375492517 3.04215082567e-06 -0.000257107125011 0.00555637126068 9.25340412752e-05 0.000304264699167 0.0058254894405 -4.44497586758e-05 -6.35123867514e-05 0.00541769293819 -3.8725735646e-05 7.03852752546e-05 0.00590724938517 -4.21587186295e-06 -3.26924038817e-05 0.00529846298235 6.33500796319e-06 0.000139506130157 83.4553889103 131.279315984
52000 40.4076982505 23.9491795881 25.3934635161 0.00563306978522 -1.00980272996e-05 1.74549351387e-05 0.00564417935201 -2.53429049805e-07 -0.000252411672075 0.00559081855768 4.33922174036e-05 0.00024679678728 0.00583397848441 -4.44583405687e-05 -5.63407470898e-05 0.00540355329331 -3.36535146461e-05 8.34091442396e-05 0.00590706492746 -6.43245187892e-06 -3.7812210158e-05 0.00530459844021 -1.4718779004e-07 0.000139982355278 83.3740973213 131.382779602
