cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
32000 105.417957304 31.8160221591 31.0406902719 0.00349196287731 -2.03711662775e-05 2.59561808782e-05 0.00330798540364 -3.6383423924e-05 -5.02920429651e-05 0.00367103922778 3.00353157062e-05 7.26543718058e-05 0.00351336045209 -5.41681465171e-05 3.27933724929e-05 0.00342448986835 -1.13440748759e-05 2.31997210563e-05 0.0036314349423 6.20932856473e-06 5.86996536894e-05 0.00332319510492 -4.76329492287e-05 -1.18136882846e-05 81.1016511304 133.50086968
33000 105.766992867 31.8140598197 31.0432769835 0.00348980554297 -1.98918493501e-05 2.60392032867e-05 0.00331407028087 -3.51439223514e-05 -4.84695877339e-05 0.0036596926084 2.77029950238e-05 6.93069083804e-05 0.00351092438038 -5.38256030023e-05 3.29621578518e-05 0.00342691613635 -1.0644133268e-05 2.18538157286e-05 0.00362352106057 5.55334307103e-06 5.92629938534e-05 0.00332364863714 -4.52243775765e-05 -1.36863530388e-05 80.8771547428 133.505908722
34000 106.115847724 31.812127202 31.0458703365 0.00348789133108 -1.93234559518e-05 2.56953159079e-05 0.00331759450906 -3.40995661614e-05 -4.99018726755e-05 0.00365120031606 2.60249054702e-05 7.10742857889e-05 0.00350716549338 -5.45715873567e-05 3.34168465334e-05 0.00342953283473 -1.18045496256e-05 1.62884026191e-05 0.0036200217978 6.28797915702e-06 5.98727834585e-05 0.00332706895882 -4.42844065689e-05 -1.20829119579e-05 80.6503044358 133.507470403
35000 106.464550961 31.8102032766 31.0484615157 0.00348710037529 -1.90253037753e-05 2.56817232159e-05 0.00332085681652 -3.56491235727e-05 -5.55276006228e-05 0.0036436365581 2.65884136447e-05 7.65484194415e-05 0.00350671975439 -5.30571331508e-05 3.264797473e-05 0.00342444826061 -1.16487309475e-05 1.90639771077e-05 0.0036163524648 6.22388931707e-06 6.08910277865e-05 0.00333357034487 -4.42758414362e-05 -1.27439034313e-05 80.4245713849 133.506484139
36000 106.813166989 31.8083061485 31.0510651569 0.00348549809927 -1.88000729692e-05 2.63678744636e-05 0.00332720877854 -3.4619284651e-05 -5.39348271511e-05 0.00363527098197 2.23533204971e-05 7.4303038996e-05 0.00350436118056 -5.33194467759e-05 3.31981920517e-05 0.00342660456771 -1.06602547987e-05 1.81358574351e-05 0.00361155511528 5.23799753705e-06 6.19184386345e-05 0.00333167425188 -4.2351080998e-05 -1.38415119874e-05 80.1977258094 133.501081715
37000 107.161696388 31.806439331 31.0536591887 0.00348440857333 -1.89295250524e-05 2.55202977056e-05 0.00333251761785 -3.36524486795e-05 -5.56609668794e-05 0.00362968811125 1.75464018604e-05 7.84949259159e-05 0.00350175202915 -5.4074367917e-05 3.33505363359e-05 0.0034297731754 -1.21028526622e-05 1.285277588e-05 0.00360777540985 5.19333348911e-06 6.18430156555e-05 0.00333601958791 -4.19803646103e-05 -1.28270416842e-05 79.9695015942 133.493531719
38000 107.510155337 31.8045954247 31.0562442252 0.00348448515614 -1.83860040772e-05 2.56775477892e-05 0.00333631675872 -3.48834217696e-05 -6.03475418484e-05 0.00362403413756 2.06779331666e-05 8.10318838149e-05 0.00350127444491 -5.28252067238e-05 3.25760900676e-05 0.00342591681418 -1.15550480287e-05 1.54674152587e-05 0.00360581915202 5.20457118759e-06 6.2340048638e-05 0.00334134923256 -4.29379120819e-05 -1.35665584133e-05 79.7431453623 133.484592784
39000 107.858605936 31.8028024057 31.0588426293 0.00348450733811 -1.77576056527e-05 2.57793458412e-05 0.00334332195461 -3.39899936773e-05 -5.89438593273e-05 0.00361698195061 1.76663759271e-05 7.93756979566e-05 0.00350044513213 -5.22076222491e-05 3.33723256256e-05 0.00343056377358 -1.09671272047e-05 1.24430543285e-05 0.00360377066236 5.25721863281e-06 6.27178926734e-05 0.00334009460332 -4.05725744613e-05 -1.44225749794e-05 79.5158263509 133.472457633
40000 108.207041119 31.8010587025 31.0614118208 0.003484299648 -1.71960687823e-05 2.56348563237e-05 0.00334925748751 -3.33028452273e-05 -6.02064972172e-05 0.00361348055973 1.78142342687e-05 8.52968733211e-05 0.00349786175633 -5.24877737612e-05 3.41472347076e-05 0.00343266782676 -1.20717885165e-05 8.84477560957e-06 0.00360199543667 5.67218924186e-06 6.2780273318e-05 0.00334414008363 -4.00793547075e-05 -1.37491899605e-05 79.2880844906 133.459120578
41000 108.555349034 31.7992300328 31.063932037 0.003486007382 -1.68562459953e-05 2.63231353308e-05 0.00335451542296 -3.37107061018e-05 -6.44053969062e-05 0.00360858120393 1.56686253794e-05 8.61758655513e-05 0.00349944453349 -5.06533912341e-05 3.35898676744e-05 0.00343155102962 -1.13224453892e-05 1.21815602842e-05 0.00360130300652 4.61336721345e-06 6.36934386038e-05 0.00335042584445 -4.06412441698e-05 -1.38108126708e-05 79.0303742299 133.422606363
